77.75,-83.02,-161.48,254.26,-30.08,3348.14,0.04,0.04,0.02
77.81,-83.03,-161.47,252.26,-29.07,3348.14,0.04,0.03,0.01
77.88,-83.03,-161.47,251.26,-28.06,3348.14,0.04,0.02,0.02
77.98,-83.02,-161.49,254.26,-28.06,3348.14,0.04,0.01,0.02
78.07,-83.01,-161.53,252.26,-28.06,3336.36,0.04,0.01,0.02
78.20,-83.00,-161.58,252.26,-27.05,3371.70,0.04,0.00,0.02
78.35,-82.97,-161.68,251.26,-27.05,3371.70,0.03,-0.00,0.01
78.57,-82.94,-161.85,255.25,-27.05,3371.70,0.02,-0.01,0.01
78.87,-82.90,-162.11,255.25,-27.05,3383.48,0.02,-0.02,0.00
79.21,-82.86,-162.42,254.26,-27.05,3371.70,0.01,-0.02,-0.00
79.56,-82.83,-162.74,254.26,-27.05,3383.48,0.01,-0.02,-0.01
79.94,-82.80,-163.08,255.25,-27.05,3418.81,0.01,-0.01,-0.01
80.30,-82.80,-163.40,260.24,-23.02,3407.03,0.03,0.00,-0.01
80.49,-82.89,-163.66,270.21,-33.11,3571.93,-0.08,0.09,-0.02
79.85,-83.17,-163.26,274.19,-26.04,3642.60,-0.22,0.28,0.02
77.20,-83.73,-161.21,283.17,-25.04,3654.38,-0.51,0.54,0.12
70.83,-84.59,-155.71,291.14,-37.15,3831.05,-0.75,0.93,0.27
57.56,-85.60,-143.65,289.15,-42.19,4043.06,-0.99,1.22,0.40
35.07,-86.23,-122.42,284.16,-43.20,4090.17,-1.09,1.41,0.56
6.39,-85.97,-95.14,281.17,-48.25,4207.95,-1.17,1.48,0.72
-13.74,-84.93,-76.37,280.17,-48.25,4349.29,-1.19,1.48,0.80
-26.43,-83.33,-65.17,279.18,-48.25,4502.41,-1.25,1.49,0.90
-34.66,-81.58,-58.46,273.20,-63.39,4490.63,-1.34,1.59,0.90
-41.14,-79.59,-53.32,270.21,-86.60,4443.52,-1.15,1.78,0.92
-46.37,-77.20,-48.96,267.21,-98.71,4455.30,-0.71,1.96,1.00
-50.04,-74.74,-45.56,251.26,-100.73,4537.75,-0.24,2.06,1.05
-52.47,-72.24,-43.01,252.26,-93.67,4855.76,0.08,1.93,1.05
-54.24,-69.87,-40.98,256.25,-98.71,4655.53,0.20,1.91,1.02
-56.24,-67.14,-38.55,245.28,-101.74,4514.19,0.35,2.17,0.98
-58.17,-64.34,-36.01,226.34,-105.78,4573.08,0.56,2.41,0.93
-59.82,-61.43,-33.66,215.38,-92.66,4702.64,0.61,2.39,0.86
-60.90,-58.88,-32.02,204.41,-83.57,4796.87,0.48,2.18,0.80
-62.00,-56.38,-30.15,200.42,-92.66,4796.87,0.66,2.08,0.64
-63.02,-54.08,-28.19,196.44,-96.69,4737.98,0.87,2.06,0.52
-63.88,-51.66,-26.43,184.47,-78.53,4679.08,0.77,2.04,0.51
-64.47,-49.40,-25.19,180.49,-51.28,4949.98,0.57,1.98,0.54
-65.02,-47.00,-24.71,186.47,-49.26,5055.99,-0.06,1.99,0.51
-65.65,-44.72,-24.56,178.49,-73.48,5197.33,-0.38,2.03,0.42
-66.43,-42.44,-24.26,149.58,-70.45,5668.46,-0.35,2.00,0.25
-67.17,-40.53,-23.91,145.59,-56.32,5421.11,-0.30,1.81,0.10
-68.05,-38.56,-23.74,125.66,-64.40,5055.99,-0.52,1.83,-0.02
-69.07,-36.56,-23.48,114.69,-96.69,5079.55,-0.53,2.01,-0.15
-70.15,-34.33,-22.84,107.71,-108.81,5150.21,-0.22,2.13,-0.20
-70.99,-32.14,-22.10,97.74,-121.93,5527.12,-0.02,2.16,-0.14
-71.56,-30.07,-20.87,113.69,-121.93,5692.01,0.51,1.92,-0.08
-71.58,-28.27,-19.79,94.75,-111.83,5385.78,0.66,1.66,0.15
-71.30,-26.29,-18.90,65.84,-105.78,5185.55,0.56,1.66,0.33
-70.96,-24.45,-18.34,46.90,-114.86,5256.22,0.35,1.62,0.34
-70.48,-22.96,-18.03,32.95,-110.82,5268.00,0.16,1.31,0.28
-69.70,-21.96,-17.90,25.97,-94.68,5491.78,0.08,0.80,0.31
-68.75,-21.36,-18.41,37.93,-93.67,5609.57,-0.40,0.46,0.37
-67.67,-20.80,-19.21,44.91,-122.94,5809.80,-0.61,0.39,0.38
-66.59,-20.29,-19.93,49.89,-128.99,6139.59,-0.56,0.35,0.41
-65.42,-19.63,-20.36,63.85,-132.02,6375.15,-0.28,0.42,0.49
-64.38,-18.69,-20.50,48.90,-133.03,6339.82,-0.08,0.71,0.53
-63.45,-17.31,-20.42,23.98,-123.95,6434.04,0.06,1.06,0.52
-62.58,-15.77,-20.88,6.03,-101.74,6646.05,-0.43,1.25,0.55
-61.57,-14.15,-21.92,-6.93,-100.73,6575.38,-0.88,1.22,0.62
-60.53,-12.54,-22.68,-19.89,-116.88,6363.37,-0.67,1.26,0.69
-59.43,-10.76,-23.14,-20.88,-125.96,6481.16,-0.40,1.32,0.74
-58.31,-8.71,-23.26,-38.83,-106.79,6410.49,-0.13,1.59,0.90
-57.11,-6.26,-23.13,-48.80,-125.96,6516.49,0.07,1.82,1.01
-55.93,-3.83,-22.37,-41.82,-142.11,6422.27,0.61,1.91,1.03
-54.66,-1.04,-20.85,-56.77,-116.88,6104.25,1.20,2.13,1.08
-53.37,1.73,-18.94,-69.73,-121.93,6116.03,1.60,2.24,1.09
-51.99,4.62,-16.63,-81.69,-112.84,5833.35,1.83,2.28,0.99
-50.43,7.39,-14.52,-104.62,-71.46,5692.01,1.72,2.28,1.09
-48.64,10.22,-12.41,-90.67,-76.51,5703.79,1.60,2.23,1.07
-46.78,12.71,-10.57,-101.63,-69.44,5798.02,1.40,2.07,1.07
-44.74,15.16,-8.67,-98.64,-76.51,5774.46,1.34,1.95,1.02
-42.79,17.59,-6.81,-101.63,-57.33,5668.46,1.36,2.07,0.97
-40.75,20.36,-4.82,-102.63,-48.25,5597.79,1.37,2.29,0.88
-38.91,23.15,-2.91,-103.63,-39.17,5550.68,1.37,2.45,0.72
-37.15,26.11,-1.17,-117.58,-15.95,5315.11,1.24,2.61,0.57
-35.39,29.29,0.35,-130.54,-2.83,5103.10,0.98,2.68,0.42
-33.73,32.31,1.66,-143.50,6.25,4973.54,0.84,2.68,0.36
-32.05,35.35,2.70,-161.45,6.25,4902.87,0.55,2.58,0.26
-30.56,38.03,3.37,-174.40,9.28,4820.42,0.30,2.39,0.17
-29.05,40.54,3.77,-186.37,18.36,4737.98,0.06,2.12,0.13
-27.64,42.70,3.86,-204.31,30.48,4608.42,-0.21,1.92,0.14
-26.15,44.88,3.86,-238.21,27.45,4443.52,-0.32,1.85,0.16
-24.62,46.80,4.07,-254.16,29.47,4443.52,-0.24,1.72,0.24
-22.86,48.52,4.73,-260.14,40.57,4514.19,0.01,1.49,0.34
-21.12,50.03,5.63,-258.14,38.55,4514.19,0.17,1.38,0.38
-19.16,51.42,6.72,-275.09,38.55,4207.95,0.19,1.24,0.44
-17.10,52.49,7.45,-260.14,18.36,4490.63,-0.24,1.04,0.55
-14.84,53.19,8.33,-245.18,-1.82,4573.08,-0.24,0.71,0.63
-12.59,53.66,9.83,-257.15,-15.95,4313.96,0.27,0.56,0.70
-9.86,54.29,12.42,-275.09,6.25,4196.18,0.85,0.73,0.83
-6.79,54.87,15.63,-266.12,35.52,4278.62,1.14,0.81,1.02
-3.50,55.33,19.19,-255.15,46.62,4290.40,1.24,0.76,1.03
-0.48,55.67,22.46,-248.17,27.45,4255.07,1.21,0.71,0.95
2.25,55.91,25.58,-233.22,16.35,4090.17,1.24,0.58,0.76
4.49,56.10,28.28,-205.31,18.36,4101.95,1.26,0.50,0.59
6.62,56.54,31.05,-204.31,39.56,3901.72,1.35,0.65,0.38
8.69,57.30,33.53,-197.33,55.71,3701.49,1.17,0.92,0.19
10.84,58.44,35.79,-188.36,58.74,3642.60,0.88,1.15,-0.02
12.64,59.74,37.71,-171.41,31.48,3666.16,0.84,1.22,-0.28
14.17,61.16,39.55,-183.38,30.48,3501.26,0.94,1.22,-0.48
15.70,62.66,41.39,-192.35,34.51,3159.69,0.90,1.18,-0.54
17.02,64.04,42.61,-196.34,50.66,2912.35,0.49,1.10,-0.59
18.13,65.34,43.03,-204.31,56.72,2759.23,-0.03,0.92,-0.60
18.59,66.43,42.31,-206.31,34.51,2735.67,-0.57,0.68,-0.66
18.28,67.36,40.74,-230.23,11.30,2676.78,-0.67,0.40,-0.71
17.51,67.99,39.26,-245.18,5.24,2771.01,-0.27,0.16,-0.66
16.35,68.37,37.69,-257.15,17.35,2865.23,-0.02,-0.07,-0.58
15.10,68.59,36.07,-266.12,22.40,2877.01,-0.01,-0.16,-0.54
13.65,68.67,34.05,-284.06,21.39,2829.90,-0.18,-0.27,-0.50
12.26,68.68,31.67,-278.08,10.29,2947.68,-0.55,-0.31,-0.48
10.95,68.59,29.19,-267.12,-8.89,3336.36,-0.67,-0.33,-0.41
10.00,68.29,27.50,-260.14,-9.90,3536.60,-0.32,-0.44,-0.26
9.29,67.87,26.44,-244.19,-2.83,3595.49,0.05,-0.47,-0.16
8.83,67.52,25.71,-225.25,-1.82,3560.15,0.13,-0.40,-0.13
8.58,67.35,24.86,-221.26,-7.88,3383.48,-0.11,-0.22,-0.15
8.47,67.30,23.97,-238.21,-13.93,3253.92,-0.29,-0.11,-0.15
8.74,67.29,23.19,-243.19,-3.84,3442.37,-0.45,-0.03,-0.06
9.32,67.19,23.01,-246.18,3.22,3536.60,-0.23,-0.05,0.07
10.10,67.03,23.50,-258.14,14.33,3524.82,0.21,-0.07,0.15
10.87,66.92,24.39,-266.12,24.42,3477.70,0.56,-0.03,0.14
11.44,66.94,25.15,-272.10,43.60,3513.04,0.60,0.04,0.02
11.46,67.16,25.49,-266.12,51.67,3619.04,0.68,0.12,-0.22
10.76,67.59,25.15,-255.15,69.84,3607.26,0.65,0.17,-0.49
9.71,68.06,24.34,-257.15,88.00,3407.03,0.54,0.18,-0.62
7.82,68.57,22.47,-258.14,105.16,3301.03,0.28,0.12,-0.86
4.68,69.03,19.39,-246.18,100.12,3206.80,0.26,-0.02,-1.14
