-13.42,64.20,134.45,-236.88,127.26,-291.59,-0.32,0.92,2.41
-13.96,63.58,135.20,-270.04,269.75,-295.64,0.69,0.40,0.42
-15.97,64.21,134.16,-243.91,261.72,-177.02,0.24,-0.72,0.01
-16.45,65.53,132.07,-209.75,147.33,-114.15,-1.84,-0.76,-0.82
-17.80,65.48,128.05,-230.85,34.94,0.42,-2.61,-0.89,-0.89
-19.01,67.68,126.24,-208.75,-36.30,29.82,-0.85,-0.35,-0.65
-19.47,69.62,125.49,-186.65,-8.21,22.73,-0.63,0.10,0.01
-21.87,69.29,122.29,-290.13,-3.19,-22.90,-1.13,0.25,1.15
-22.86,69.33,120.40,-141.44,26.91,-10.73,-1.26,0.37,1.37
-24.30,67.29,117.64,-214.78,69.06,-3.63,-1.60,0.67,1.77
-26.00,65.19,114.37,-171.58,47.98,-10.73,-1.65,0.99,1.91
-26.08,63.41,114.46,-166.55,224.59,-110.10,-0.25,0.99,1.53
-26.29,60.67,115.26,-236.88,305.87,-251.03,0.31,0.23,0.29
-27.46,61.36,114.23,-187.65,250.68,-139.50,-0.49,-0.42,-0.45
-28.32,61.27,111.37,-230.85,141.31,-80.69,-2.31,-0.56,-0.77
-28.79,61.78,109.22,-227.84,38.95,-28.98,-2.17,-0.54,-0.75
-30.15,64.01,107.43,-167.56,3.83,58.21,-1.08,-0.64,-0.57
-31.94,65.04,105.29,-183.63,12.86,66.33,-0.73,-0.07,-0.21
-34.87,64.42,101.63,-165.55,27.92,-5.66,-0.99,0.20,1.37
-35.00,62.74,101.13,-184.64,75.08,2.45,-0.79,0.55,1.69
-35.71,60.60,99.81,-191.67,91.13,-58.39,-1.01,0.54,2.03
-34.19,59.38,102.15,-218.80,228.61,-78.67,0.04,0.63,1.04
-33.98,57.39,102.68,-187.65,349.02,-132.40,-0.35,0.40,0.83
-34.73,57.42,102.58,-212.77,345.01,-172.96,-0.10,0.04,-0.01
-36.10,58.09,100.67,-191.67,302.86,-120.24,-1.20,-0.37,-0.51
-37.66,58.77,97.80,-198.70,145.32,-44.19,-1.85,-0.48,-0.63
-37.98,58.89,97.19,-192.67,58.02,7.52,-1.06,-0.26,-0.54
-39.10,59.40,96.25,-168.56,12.86,45.03,-0.43,0.04,0.16
-40.36,59.42,95.27,-220.81,96.15,1.43,-0.25,0.13,0.56
-42.22,58.31,93.53,-178.61,87.12,-77.65,-0.56,-0.18,1.48
-41.51,57.61,95.11,-233.87,305.87,-9.72,-0.19,-0.07,0.84
-42.36,57.34,94.78,-199.71,277.77,-58.39,-0.22,0.01,0.23
-42.89,56.77,94.38,-178.61,223.59,-43.18,-0.61,-0.06,-0.23
-43.18,55.54,93.74,-191.67,194.49,-10.73,-1.10,-0.09,-0.31
-44.06,54.90,92.63,-188.66,143.31,-18.84,-0.87,-0.03,-0.33
-44.68,55.05,92.28,-182.63,143.31,-8.70,-0.56,-0.05,-0.28
-45.52,54.96,91.74,-182.63,123.24,13.60,-0.46,-0.04,-0.12
-46.80,54.98,90.96,-193.68,163.38,-15.80,-0.19,0.02,0.05
-47.25,54.49,91.15,-191.67,190.47,-26.96,-0.22,-0.01,-0.01
-47.54,53.67,91.53,-190.67,193.49,-30.00,-0.29,-0.04,-0.08
-48.01,53.13,91.98,-202.72,228.61,-47.23,-0.10,-0.15,-0.27
-48.66,52.96,92.33,-201.72,235.63,-64.47,-0.13,-0.25,-0.57
-49.52,52.98,92.42,-199.71,245.66,-55.34,-0.24,-0.48,-0.72
-50.82,53.34,91.60,-192.67,221.58,-17.83,-0.65,-0.58,-1.03
-52.45,53.55,90.57,-187.65,140.30,16.64,-0.42,-0.56,-1.06
-54.76,54.62,88.87,-190.67,127.26,19.69,-0.23,-0.49,-0.97
-57.20,55.74,87.27,-196.69,113.21,18.67,-0.06,-0.47,-0.86
-59.35,56.71,85.94,-204.73,135.29,29.82,-0.03,-0.43,-0.63
-61.83,57.31,84.26,-217.79,182.45,1.43,0.00,-0.37,-0.59
-63.07,57.44,83.95,-211.76,179.44,-12.76,-0.04,-0.36,-0.71
-64.13,57.70,84.13,-215.78,183.45,-14.79,0.07,-0.46,-0.85
-65.47,58.10,83.92,-213.77,163.38,11.57,-0.00,-0.60,-1.01
-67.82,58.83,82.32,-213.77,148.33,29.82,-0.25,-0.62,-1.17
-70.68,59.83,79.91,-213.77,132.27,31.85,-0.37,-0.58,-1.35
-73.69,60.98,77.37,-209.75,98.16,35.91,-0.36,-0.53,-1.31
-76.83,62.39,74.88,-218.80,83.11,31.85,-0.14,-0.51,-1.23
-80.07,63.89,72.49,-217.79,75.08,36.92,0.02,-0.50,-1.07
-83.39,65.18,70.12,-229.85,112.21,32.87,0.18,-0.49,-1.01
-86.14,65.93,68.52,-231.86,116.22,35.91,0.25,-0.50,-1.06
-88.83,66.55,66.70,-234.87,125.25,39.96,0.05,-0.49,-1.13
-91.55,67.02,64.77,-225.83,86.12,54.16,-0.04,-0.45,-1.18
-95.77,67.97,61.04,-232.86,95.15,38.95,-0.18,-0.45,-1.30
-99.19,68.89,58.42,-217.79,64.04,50.10,-0.03,-0.46,-1.34
-103.62,69.87,54.72,-248.94,71.06,61.26,0.06,-0.40,-1.28
-108.59,70.82,50.44,-233.87,65.04,51.12,0.01,-0.32,-1.34
-113.18,71.70,46.49,-242.91,46.98,48.08,-0.02,-0.33,-1.39
-118.51,72.71,41.67,-253.96,39.96,47.06,-0.12,-0.35,-1.27
-123.88,73.55,36.86,-218.80,37.95,70.38,-0.02,-0.41,-1.21
-130.50,73.78,30.89,-227.84,22.90,68.35,0.06,-0.32,-1.30
-137.55,74.10,24.54,-250.95,20.89,73.42,0.13,-0.27,-1.38
-144.08,74.17,18.35,-246.93,-5.20,85.59,-0.16,-0.29,-1.23
-151.91,74.00,11.00,-245.92,-5.20,64.30,0.02,-0.16,-1.11
-158.21,74.03,5.41,-224.82,-6.20,47.06,0.20,-0.23,-1.06
-163.81,73.98,0.62,-254.97,5.84,51.12,0.24,-0.32,-1.00
-167.90,74.01,-2.73,-246.93,-1.18,65.31,0.18,-0.33,-0.99
-172.29,73.61,-6.45,-243.91,-17.24,74.44,0.08,-0.32,-0.99
-176.92,72.99,-10.46,-248.94,-14.23,74.44,0.11,-0.28,-0.96
179.49,72.43,-13.42,-253.96,-29.28,84.58,0.07,-0.26,-0.86
175.35,71.70,-16.90,-220.81,-9.21,87.62,0.12,-0.20,-0.96
172.36,70.86,-18.86,-222.82,-38.31,86.60,0.29,-0.13,-1.06
168.24,69.88,-22.12,-240.90,-26.27,70.38,0.23,-0.15,-1.09
165.20,69.51,-24.24,-273.05,-48.35,81.53,0.22,-0.16,-0.93
162.01,69.09,-26.96,-201.72,-121.60,84.58,-0.09,-0.08,-0.82
156.40,67.44,-32.47,-193.68,-134.64,95.73,-0.15,-0.08,-0.50
151.95,65.73,-36.63,-257.98,-125.61,92.69,0.01,0.11,-0.31
150.37,65.43,-37.88,-276.06,-32.29,65.31,-0.02,0.04,0.24
150.95,66.43,-36.83,-265.01,6.84,77.48,-0.07,-0.00,0.22
152.80,67.44,-34.30,-232.86,23.90,70.38,-0.08,0.02,-0.05
154.83,68.26,-31.48,-206.74,-13.23,64.30,-0.00,0.01,-0.22
154.14,68.21,-31.27,-240.90,-29.28,65.31,0.19,-0.06,-0.45
152.94,68.26,-31.56,-270.04,-47.34,59.23,0.26,-0.11,-0.54
151.07,68.42,-32.76,-249.94,-42.33,73.42,0.12,-0.12,-0.42
149.96,68.27,-33.19,-226.83,-46.34,72.41,0.12,-0.13,-0.44
148.51,67.77,-33.78,-233.87,-46.34,67.34,0.24,-0.20,-0.53
146.91,67.43,-34.65,-244.92,-48.35,84.58,0.15,-0.21,-0.59
145.98,67.00,-35.08,-217.79,-126.62,122.09,-0.07,-0.18,-0.51
144.15,65.58,-36.72,-196.69,-175.78,122.09,-0.16,0.03,0.05
141.92,64.05,-38.77,-225.83,-112.57,89.65,-0.02,0.05,0.31
140.98,63.95,-39.55,-244.92,-112.57,93.70,-0.12,0.12,0.56
140.63,64.17,-39.93,-233.87,-59.38,80.52,-0.31,0.15,0.69
141.62,65.10,-38.76,-238.89,-52.36,67.34,-0.25,0.16,0.69
142.42,66.21,-37.75,-236.88,-50.35,68.35,-0.19,0.15,0.68
143.36,67.19,-36.63,-241.90,-42.33,65.31,-0.21,0.13,0.65
144.75,68.19,-35.16,-243.91,-42.33,83.56,-0.25,0.07,0.68
146.69,68.83,-32.92,-239.89,-41.32,89.65,-0.11,0.12,0.67
148.59,69.26,-30.86,-243.91,-55.37,85.59,-0.22,0.17,0.66
149.88,69.73,-29.44,-246.93,-50.35,78.49,-0.16,0.22,0.78
151.35,70.40,-27.81,-236.88,-52.36,72.41,-0.10,0.25,0.88
152.67,71.04,-26.36,-239.89,-48.35,66.33,-0.10,0.24,0.92
154.38,71.80,-24.54,-240.90,-46.34,77.48,-0.06,0.23,1.04
156.79,72.36,-22.15,-228.84,-25.27,84.58,-0.18,0.27,1.10
160.48,72.81,-18.37,-238.89,-18.24,71.40,-0.12,0.33,1.10
164.74,73.55,-14.07,-250.95,-15.23,65.31,-0.15,0.33,1.16
169.09,74.35,-9.70,-241.90,-9.21,66.33,-0.13,0.35,1.21
174.15,74.93,-4.78,-237.89,3.83,50.10,-0.26,0.35,1.21
-179.84,75.57,1.17,-245.92,-1.18,58.21,-0.20,0.31,1.27
-173.63,75.99,7.29,-238.89,-8.21,74.44,-0.16,0.37,1.36
-168.27,75.89,12.74,-228.84,16.88,47.06,0.05,0.44,1.49
-159.41,75.83,22.13,-290.13,84.11,-22.90,0.38,0.38,1.73
-147.49,75.26,34.68,-232.86,89.13,-19.86,0.35,-0.26,1.89
-136.75,74.73,46.22,-248.94,120.23,114.99,0.33,-0.01,1.21
-133.79,72.46,49.53,-231.86,91.13,88.63,0.11,0.20,1.01
-131.56,70.94,51.77,-238.89,30.93,37.94,-0.12,0.46,0.85
-129.20,70.88,54.29,-233.87,37.95,71.40,0.01,0.37,1.07
-128.21,70.27,55.32,-228.84,47.98,64.30,-0.00,0.47,1.15
-126.00,69.44,57.58,-225.83,42.97,41.99,0.01,0.56,1.32
